Timestamp,Label
1741818682.266309,Lecture Started
1741819003.4466605,Lost Focus
1741819008.207299,Focused Again
1741819101.7917202,Lost Focus
1741819104.9568834,Focused Again
1741819213.777788,Lost Focus
1741819217.995212,Focused Again
1741819284.2647867,Lecture Started
1741819290.6195123,Lecture Paused
1741819596.5383215,Lecture Started
1741819601.0773468,Focused Again
1741820176.7190256,Lost Focus
1741820180.7594347,Focused Again
1741820198.6008716,Lost Focus
1741820202.2046914,Focused Again
1741820205.9607458,Lecture Started
1741820207.713418,Lecture Paused
